ticker,name,cik,gics_sector,gics_sub_industry,date_added
MATX,"Matson, Inc.",0000003453,Industrials,Marine Transportation,
MBC,"MasterBrand, Inc.",0001941365,Industrials,Building Products,
MBGL,"Mobility Global, Inc.",0002090312,Industrials,Data Processing & Outsourced Services,
MBIN,Merchants Bancorp,0001629019,Financials,Regional Banks,
MC,Moelis & Company,0001596967,Financials,Investment Banking & Brokerage,
MCRI,"Monarch Casino & Resort, Inc.",0000907242,Consumer Discretionary,Casinos & Gaming,
MCY,Mercury General,0000064996,Financials,Property & Casualty Insurance,
MD,Pediatrix Medical Group,0000893949,Health Care,Health Care Services,
MDU,"MDU Resources Group, Inc.",0000067716,Utilities,Multi-Utilities,
MFP,"Midera Food Processing, Inc.",0002088281,Industrials,Industrial Machinery & Supplies & Components,
MGEE,"MGE Energy, Inc.",0001161728,Utilities,Electric Utilities,
MGY,"Magnolia Oil & Gas, Corp.",0001698990,Energy,Oil & Gas Exploration & Production,
MHK,Mohawk Industries,0000851968,Consumer Discretionary,Home Furnishings,
MHO,"M/I Homes, Inc.",0000799292,Consumer Discretionary,Homebuilding,
MIR,"Mirion Technologies, Inc.",0001809987,Information Technology,Electronic Equipment & Instruments,
MKTX,MarketAxess,0001278021,Financials,Financial Exchanges & Data,
MLKN,"MillerKnoll, Inc.",0000066382,Industrials,Office Services & Supplies,
MMI,"Marcus & Millichap, Inc.",0001578732,Real Estate,Real Estate Services,
MMSI,"Merit Medical Systems, Inc.",0000856982,Health Care,Health Care Supplies,
MOH,Molina Healthcare,0001179929,Health Care,Managed Health Care,
MPT,Medical Properties Trust,0001287865,Real Estate,Health Care REITs,
MRCY,Mercury Systems,0001049521,Industrials,Electrical Components & Equipment,
MRP,"Millrose Properties, Inc.",0002017206,Real Estate,Single-Family Residential REITs,
MRTN,"Marten Transport, Ltd.",0000799167,Industrials,Cargo Ground Transportation,
MSEX,Middlesex Water Company,0000066004,Utilities,Water Utilities,
MSGS,Madison Square Garden Sports Corp.,0001636519,Communication Services,Movies & Entertainment,
MTCH,Match Group,0000891103,Communication Services,Interactive Media & Services,
MTH,Meritage Homes Corporation,0000833079,Consumer Discretionary,Homebuilding,
MTRN,Materion Corp.,0001104657,Materials,Diversified Metals & Mining,
MTUS,Metallus Inc,0001598428,Materials,Steel,
MTX,Minerals Technologies,0000891014,Materials,Specialty Chemicals,
MWA,Mueller Water Products,0001350593,Industrials,Industrial Machinery & Supplies & Components,
MXL,"MaxLinear, Inc.",0001288469,Information Technology,Semiconductors,
MYRG,"MYR Group, Inc.",0000700923,Industrials,Construction & Engineering,
NABL,"N-able, Inc.",0001834488,Information Technology,Systems Software,
NATL,NCR Atleos,0001974138,Financials,Transaction & Payment Processing Services,
NAVI,Navient,0001593538,Financials,Consumer Finance,
NBHC,National Bank Holdings Corporation,0001475841,Financials,Regional Banks,
NBTB,"NBT Bancorp, Inc.",0000790359,Financials,Regional Banks,
NE,Noble Corporation,0001895262,Energy,Oil & Gas Drilling,
NEO,"NeoGenomics Laboratories, Inc.",0001077183,Health Care,Health Care Services,
NEOG,Neogen,0000711377,Health Care,Health Care Supplies,
NGVT,"Ingevity, Corp.",0001653477,Materials,Specialty Chemicals,
NHC,"National Healthcare, Corp.",0001047335,Health Care,Health Care Facilities,
NHI,"National Health Investors, Inc.",0000877860,Real Estate,Health Care REITs,
NIC,Nicolet Bankshares,0001174850,Financials,Regional Banks,
